G,cs_concept,symptom,fail_mode,shadow_side,cognitive_bias,kpi_id,metric_name,method,target_value
desc,CS Concept Name,Human Problem (Symptom / Manifestation),System Failure Mode (Technical Anti-Pattern),Shadow Side,Cognitive Bias,,(KPI) PD Optimization Metric,,
z,Null,"Identity crisis, emptiness, lack of purpose, non-existence",Null Pointer. Cold Start,Nihilism,Status Quo Bias,,Latency Action,,
0,BIOS,"Procrastination, low energy, starting friction, frozen",Deadlock,Burnout,Hyperbolic Discounting,,Activation Time,,
1,Syntax,"Poor communication, social awkwardness, rudeness, messy habits, pattern",Syntax Error,Pedantry,Curse of Knowledge,,Signal-Noise Ratio,,
2,Variable,"Fixed mindset, labeling self, rigid identity, fixed self-image",Hard-coding Identity,Identity Rigidity,Labeling Bias,,Type Flexibility,,
3,Loops,"Ruminating thoughts, bad habits, repetitive mistakes",Infinite Loop,Compulsion,Sunk Cost Fallacy,,Cycle Time,,
4,Memory,"Information overload, forgetting, brain fog, losing track",Memory Leak,Information Hoarding,Availability Heuristic,,Cache Hit Rate,,
5,Logic,"Indecisiveness, cognitive bias, emotional reacting, irrational outbursts",Logic Bomb,Rationalization,Confirmation Bias,,Decision Precision,,
6,InOut,"Poor boundaries, social anxiety, misaligned output, overwhelmed",I/O Bottleneck,Over-sharing,Spotlight Effect,,Throughput Rate,,
7,Object,"Lack of integrity, compartmentalization, fake self, chaos, messy life",Spaghetti Code,Narcissism,Halo Effect,,Modular Density,,
8,Inherit,"Trauma, family baggage, limiting beliefs",Legacy Code Debt,Victim Mentality,Anchoring Bias,,Transfer Efficiency,,
9,Thread,"Multi-tasking stress, focus loss, overwhelm",Race Condition,Hyper-activity,Planning Fallacy,,Thread Utilization,,
10,Virtual,"Imposter syndrome, living for others, ego traps, boundary blurring",Sandbox Escape,Delusion,Self-Serving Bias,,Scope Isolation,,
11,Cloud,"Isolation, lack of support, limited resources, loneliness, disconnectedness",Network Partition,Groupthink,Bandwagon Effect,,Node Connectivity,,
12,Server,"Needing/external validation, dependency, crash",Server Downtime,Dependency,Authority Bias,,Uptime Percentage,,
13,Access,"Gatekeeping, low self-esteem, lack of access, arrogance, power struggle, over-stepping",Privilege Escalation,Arrogance,Dunning-Kruger,,Access Latency,,
14,Algorithms,"Inefficiency, working hard but not smart, burnout",Big O(n^2) Inefficiency,Over-calculation,Gambler's Fallacy,,Big O Complexity,,
15,Database,"Scattered life, lack of organization, chaos, misinformation, confusion",Data Corruption,Obsessive Control,Hindsight Bias,,Query Speed,,
16,Low-level,"Health issues, physical decay, lack of basics, chronic illness, low energy",Hardware Failure,Physical Decay,Negativity Bias,,Bio-Latency,,
17,Locking,"Analysis paralysis, stuck, in the past, stubbornness",Mutex Deadlock,Stubbornness,Loss Aversion,,Release Velocity,,
18,SuperCom,"Small thinking, limited processing power, cognitive overload, high pressure",System Overheat,God Complex,Optimism Bias,,Compute Power,,
19,Compiler,"Self-sabotage, misalignment, between thought/action, hypocrisy",Compile Error,Judgmentalism,Blind Spot Bias,,Validation Accuracy,,
20,Kernel,"Weak willpower, lack of discipline, core drift/crisis, instability, loss of self-control",Kernel Panic,Authoritarianism,In-group Bias,,Core Stability,,
21,Root,"Victim mindset, lack of agency, external control",Root Compromise,Tyranny,Control Illusion,,Agency Level,,
22,Quantum,"Binary thinking, inability to hold paradoxes, mental breakdown, rigidness",State Collapse,Schizoid Drift,Ambiguity Effect,,Probability Spread,,
23,Error,"Toxic/bad relationships/clutter, negative ego/energy, hoarding",Resource Leak,Perfectionism,Framing Effect,,Garbage Volume,,
24,Source,"Mimetic desire, following the crowd, crowd-following, lack of origin",Dependency Hell,Nostalgia,Outcome Bias,,Source Integrity,,
25,Merge,"Fragmented life, work-life/role conflict, internal friction",Namespace Conflict,Loss of Detail,Unit Bias,,Integration Score,,
26,Encrypt,"Vulnerability, fear of judgment, data privacy, privacy loss",Data Breach,Paranoia,Zero-Risk Bias,,Encryption Strength,,
27,Admin,"hoarding past, attachment to results, inability to let go",Memory Bloat,Grief/Clinging,End-Endowment,,Deallocation Rate,,
28,Hidden,"Being overlooked, stealth wealth, quiet power, invisible work, wasted power",Ghost Process,Invisibility,Omission Bias,,Abstraction Level,,
29,Anonymous,"Ego-driven, need for/seeking recognition, instability",Feedback Oscillation,Ego Death,Blind Spot,,Self-Update Rate,,
30,No Code,"Over-complicating life, struggling with tools, perfectionism, clutter",Over-Engineering,Emptiness,Less-is-better,,Simplicity Ratio,,
